run_dir,setting,language_mode,language,model_family,seed,eval_language,macro_f1_normal,macro_f1_global_single_mask,delta_macro_f1_global_single_mask,n_has_mwe_prev_next_global_single_mask,n_no_mwe_prev_next_global_single_mask,macro_f1_has_mwe_prev_next_global_single_mask,macro_f1_no_mwe_prev_next_global_single_mask,macro_f1_global_n_mask,delta_macro_f1_global_n_mask,n_has_mwe_prev_next_global_n_mask,n_no_mwe_prev_next_global_n_mask,macro_f1_has_mwe_prev_next_global_n_mask,macro_f1_no_mwe_prev_next_global_n_mask,macro_f1_targeted_context_mask,delta_macro_f1_targeted_context_mask,n_has_mwe_prev_next_targeted_context_mask,n_no_mwe_prev_next_targeted_context_mask,macro_f1_has_mwe_prev_next_targeted_context_mask,macro_f1_no_mwe_prev_next_targeted_context_mask,delta_macro_f1_global_n_minus_single
zero_shot__EN_PT_GL__target_True_highlight_glosses__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,EN,0.7521254739514607,0.6471540992030027,-0.10497137474845797,57,367,0.5521885521885522,0.6512028512028512,0.6611506971805405,-0.09097477677092014,57,367,0.5928571428571429,0.6593904295207336,0.6611506971805405,-0.09097477677092014,57,367,0.5928571428571429,0.6593904295207336,0.013996597977537828
zero_shot__EN_PT_GL__target_True_highlight_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,PT,0.6044485209814263,0.5036232838809982,-0.10082523710042812,46,161,0.6260162601626016,0.45086651917404125,0.5334177535773079,-0.0710307674041184,46,161,0.6288561936402468,0.4937106918238994,0.5307759372275502,-0.07367258375387609,46,161,0.6515151515151515,0.48443704367874985,0.029794469696309722
zero_shot__EN_PT_GL__previous_target_next_True_highlight_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,EN,0.8110516934046346,0.7463982300371066,-0.06465346336752797,57,367,0.6298701298701299,0.75570419202977,0.7439127508671417,-0.06713894253749286,57,367,0.6687179487179487,0.7429971988795518,0.737074835845634,-0.07397685755900052,57,367,0.6079266295447101,0.7472775606943822,-0.002485479169964888
zero_shot__EN_PT_GL__target_True_highlight_empty__logreg_tfidf__seed51,zero_shot,multilingual,EN_PT_GL,logreg_tfidf,51,EN,0.6029962546816479,0.5556150209615556,-0.047381233720092286,57,367,0.33026357573832965,0.5857880692732587,0.5562118460433039,-0.04678440863834399,57,367,0.3020408163265307,0.5901009791921665,0.5562118460433039,-0.04678440863834399,57,367,0.3020408163265307,0.5901009791921665,0.0005968250817482978
zero_shot__EN_PT_GL__target_True_none_empty__logreg_tfidf__seed51,zero_shot,multilingual,EN_PT_GL,logreg_tfidf,51,EN,0.5983550299214384,0.5556150209615556,-0.042740008959882836,57,367,0.3439897698209719,0.582854749940177,0.5529555812529761,-0.04539944866846235,57,367,0.323125,0.5836705911209222,0.5529555812529761,-0.04539944866846235,57,367,0.323125,0.5836705911209222,-0.002659439708579514
zero_shot__EN_PT_GL__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,GL,0.6666666666666666,0.625,-0.04166666666666663,0,6,,0.625,0.625,-0.04166666666666663,0,6,,0.625,0.625,-0.04166666666666663,0,6,,0.625,0.0
one_shot__EN_PT_GL__previous_target_next_True_none_empty__mBERT__seed51,one_shot,multilingual,EN_PT_GL,mBERT,51,GL,0.6666666666666666,0.625,-0.04166666666666663,0,6,,0.625,0.625,-0.04166666666666663,0,6,,0.625,0.625,-0.04166666666666663,0,6,,0.625,0.0
zero_shot__EN_PT_GL__target_True_none_ner__logreg_word2vec__seed51,zero_shot,multilingual,EN_PT_GL,logreg_word2vec,51,EN,0.6216228275662049,0.5810908116616709,-0.040532015904534036,57,367,0.484629294755877,0.5858033858033858,0.5676378305692514,-0.05398499699695347,57,367,0.4970588235294118,0.568941421349985,0.5686770417081163,-0.05294578585808862,57,367,0.4970588235294118,0.5709328388773467,-0.013452981092419436
zero_shot__EN_PT_GL__previous_target_next_True_highlight_ner__logreg_word2vec__seed51,zero_shot,multilingual,EN_PT_GL,logreg_word2vec,51,EN,0.6153927488243969,0.5778278403560007,-0.03756490846839622,57,367,0.5258589511754068,0.5735355461533878,0.5778278403560007,-0.03756490846839622,57,367,0.5258589511754068,0.5735355461533878,0.5801793382729235,-0.03521341055147342,57,367,0.5389705882352942,0.5735355461533878,0.0
one_shot__EN_PT_GL__previous_target_next_True_none_empty__logreg_tfidf__seed51,one_shot,multilingual,EN_PT_GL,logreg_tfidf,51,EN,0.6521790831797372,0.6179462060894548,-0.03423287709028233,54,336,0.4449942900647126,0.6358597164481399,0.6123898348592454,-0.0397892483204918,54,336,0.40107334525939176,0.641025641025641,0.6228760878574389,-0.029302995322298298,54,336,0.4581939799331104,0.641025641025641,-0.005556371230209467
zero_shot__EN_PT_GL__target_True_highlight_ner__logreg_tfidf__seed51,zero_shot,multilingual,EN_PT_GL,logreg_tfidf,51,EN,0.6579112505602869,0.6236917460689586,-0.03421950449132827,57,367,0.45856534556174255,0.6417307461251953,0.6190476190476191,-0.03886363151266781,57,367,0.4533248081841432,0.6374767407135146,0.5983327017809776,-0.05957854877930924,57,367,0.5476190476190476,0.598937125748503,-0.004644127021339539
one_shot__EN_PT_GL__previous_target_next_True_none_empty__logreg_word2vec__seed51,one_shot,multilingual,EN_PT_GL,logreg_word2vec,51,EN,0.6179261100262343,0.5871767730228339,-0.030749337003400434,54,336,0.41073766914011345,0.593162393162393,0.5897004287104495,-0.028225681315784845,54,336,0.4320987654320988,0.5903423603015119,0.5897328003366296,-0.028193309689604762,54,336,0.45787865560890434,0.5903423603015119,0.002523655687615589
zero_shot__EN_PT_GL__target_True_highlight_ner__logreg_word2vec__seed51,zero_shot,multilingual,EN_PT_GL,logreg_word2vec,51,EN,0.628209352851486,0.5990566037735848,-0.02915274907790122,57,367,0.45981045981045987,0.6091936048373284,0.5895861148197596,-0.0386232380317264,57,367,0.45981045981045987,0.5986922853763585,0.5824891099354107,-0.04572024291607535,57,367,0.45981045981045987,0.5905967396477867,-0.009470488953825185
