run_dir,setting,language_mode,language,model_family,seed,macro_f1_normal,macro_f1_global_single_mask,delta_macro_f1_global_single_mask,n_has_mwe_prev_next_global_single_mask,n_no_mwe_prev_next_global_single_mask,macro_f1_has_mwe_prev_next_global_single_mask,macro_f1_no_mwe_prev_next_global_single_mask,macro_f1_global_n_mask,delta_macro_f1_global_n_mask,n_has_mwe_prev_next_global_n_mask,n_no_mwe_prev_next_global_n_mask,macro_f1_has_mwe_prev_next_global_n_mask,macro_f1_no_mwe_prev_next_global_n_mask,macro_f1_targeted_context_mask,delta_macro_f1_targeted_context_mask,n_has_mwe_prev_next_targeted_context_mask,n_no_mwe_prev_next_targeted_context_mask,macro_f1_has_mwe_prev_next_targeted_context_mask,macro_f1_no_mwe_prev_next_targeted_context_mask,delta_macro_f1_global_n_minus_single
zero_shot__EN__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,0.8300888951601524,0.6899598662580728,-0.14012902890207957,57,367,0.6198666198666198,0.6901646264246517,0.6650645304850913,-0.1650243646750611,57,367,0.6677030703458997,0.6527029544353787,0.6696937321937322,-0.1603951629664202,57,367,0.7285714285714285,0.6502888452146984,-0.02489533577298153
zero_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,0.6050476995531939,0.48188261713724295,-0.12316508241595098,46,161,0.5253071253071253,0.4658179012345679,0.5091446951376987,-0.09590300441549526,46,161,0.5157894736842106,0.5026258881680568,0.5143581081081081,-0.09068959144508582,46,161,0.5436507936507937,0.5026258881680568,0.027262078000455714
zero_shot__PT__previous_target_next_True_highlight_empty__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,0.6170706006322444,0.49816698202459786,-0.11890361860764653,46,161,0.5771649733913884,0.441987126588546,0.5188775510204082,-0.09819304961183617,46,161,0.5576923076923077,0.48440082644628096,0.5315564495851145,-0.0855141510471299,46,161,0.5851922164214525,0.48440082644628096,0.020710568995810363
zero_shot__PT__target_True_highlight_ner__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,0.5750095492742552,0.4579124579124578,-0.11709709136179736,46,161,0.5134615384615384,0.43609900373599003,0.4579124579124578,-0.11709709136179736,46,161,0.5134615384615384,0.43609900373599003,0.44926250933532486,-0.12574703993893033,46,161,0.5068226120857701,0.42678018575851395,0.0
zero_shot__PT__previous_target_next_True_highlight_glosses__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,0.6008564345278341,0.4919948580109852,-0.10886157651684891,46,161,0.5253071253071253,0.47237827715355807,0.49270626677558643,-0.10815016775224767,46,161,0.5436507936507937,0.4691003607867479,0.5216944801026957,-0.0791619544251384,46,161,0.6805555555555556,0.4691003607867479,0.0007114087646012401
zero_shot__PT__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,0.6343105423987776,0.5285845091916512,-0.10572603320712637,46,161,0.406025824964132,0.5576923076923077,0.5071428571428571,-0.12716768525592048,46,161,0.3991291727140784,0.5323573835250377,0.5113474348486619,-0.12296310755011575,46,161,0.3991291727140784,0.5363480697384807,-0.021441652048794113
zero_shot__PT__previous_target_next_True_none_glosses__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,0.5690795541384489,0.4705380826070481,-0.0985414715314008,46,161,0.37744360902255636,0.4930612244897959,0.5097574838954149,-0.05932207024303404,46,161,0.4235588972431078,0.5306122448979591,0.5085470085470085,-0.06053254559144039,46,161,0.4093477144324602,0.5306122448979591,0.03921940128836676
zero_shot__EN__previous_target_next_True_highlight_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,0.8300033411293017,0.7325608006653604,-0.0974425404639413,57,367,0.5907692307692307,0.7458295694068051,0.71574148565299,-0.11426185547631174,57,367,0.6148648648648649,0.723361273593439,0.7229330846090691,-0.10707025652023261,57,367,0.6297435897435897,0.7288940481215704,-0.01681931501237044
zero_shot__PT__target_True_none_empty__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,0.5382899628252789,0.463615832639962,-0.07467413018531688,46,161,0.56875,0.43047619047619046,0.4547413793103448,-0.08354858351493405,46,161,0.5053763440860215,0.434691011235955,0.4547413793103448,-0.08354858351493405,46,161,0.5053763440860215,0.434691011235955,-0.008874453329617171
zero_shot__EN__target_True_highlight_empty__logreg_tfidf__seed51,zero_shot,per_language,EN,logreg_tfidf,51,0.6155125701665081,0.5471523828767717,-0.06836018728973636,57,367,0.42809364548494977,0.5456823671497584,0.5371069182389937,-0.07840565192751436,57,367,0.4631578947368421,0.5287817629646715,0.5371069182389937,-0.07840565192751436,57,367,0.4631578947368421,0.5287817629646715,-0.010045464637778001
